24
30.000 0.000 -29.000 1.000
28.978 7.765 -27.978 -6.765
25.981 15.000 -24.981 -14.000
21.213 21.213 -20.213 -20.213
15.000 25.981 -14.000 -24.981
7.765 28.978 -6.765 -27.978
0.000 30.000 1.000 -29.000
-7.765 28.978 8.765 -27.978
-15.000 25.981 16.000 -24.981
-21.213 21.213 22.213 -20.213
-25.981 15.000 26.981 -14.000
-28.978 7.765 29.978 -6.765
-30.000 0.000 31.000 1.000
-28.978 -7.765 29.978 8.765
-25.981 -15.000 26.981 16.000
-21.213 -21.213 22.213 22.213
-15.000 -25.981 16.000 26.981
-7.765 -28.978 8.765 29.978
-0.000 -30.000 1.000 31.000
7.765 -28.978 -6.765 29.978
15.000 -25.981 -14.000 26.981
21.213 -21.213 -20.213 22.213
25.981 -15.000 -24.981 16.000
28.978 -7.765 -27.978 8.765
0
