5
30 70
130 40
230 20
130 270
40 160
8
220 120
20 120
220 10
220 260
80 120
90 220
120 120
120 150
24
34.2165898618 273.245614035 1
34.2165898618 260.087719298 1
63.9400921659 254.824561404 1
68.0875576037 211.842105263 1
84.6774193548 234.649122807 1
96.4285714286 256.578947368 1
68.7788018433 275.877192982 3
173.847926267 254.824561404 1
166.244239631 237.280701754 1
231.221198157 194.298245614 1
245.046082949 216.228070175 1
200.115207373 253.947368421 3
237.442396313 148.684210526 1
169.00921659 148.684210526 1
170.391705069 56.5789473684 1
204.262672811 55.701754386 1
204.262672811 136.403508772 1
230.529953917 138.157894737 1
238.824884793 103.947368421 1
280.299539171 117.105263158 3
77.0737327189 82.8947368421 1
78.4562211982 60.9649122807 1
130.299539171 58.3333333333 1
128.225806452 86.4035087719 3
